log_id,timestamp,session_id,source_ip,layer,action_type,maliciousness_score,entropy_value,threat_vector_contribution
ac8b7f34,2026-04-09T15:40:49.388Z,0x5461,192.168.1.157,SQL,TABLE_DROP,84,1.98,8.40
0526a2ec,2026-04-09T15:42:01.388Z,0xD5D4,192.168.1.23,SQL,VERSION_PROBE,79,2.72,7.90
5db5707d,2026-04-09T15:43:13.388Z,0x92C6,192.168.1.136,SSH,ROOT_LOGIN_ATTEMPT,69,4.19,6.90
bf0429aa,2026-04-09T15:44:25.388Z,0xEEC0,192.168.1.179,SSH,SHELLCODE_INJECTION,98,2.85,9.80
8d3a681a,2026-04-09T15:45:37.388Z,0x163F,192.168.1.230,SSH,PRIV_ESC,69,2.75,6.90
1f04e125,2026-04-09T15:46:49.388Z,0x9A2F,192.168.1.50,SQL,BLIND_SQLI,82,4.43,8.20
bc3b57c6,2026-04-09T15:48:01.388Z,0x3A52,192.168.1.228,HTTP,DIR_TRAVERSAL,81,3.52,8.10
45e1c490,2026-04-09T15:49:13.388Z,0x7168,192.168.1.70,SSH,SHELLCODE_INJECTION,81,3.43,8.10
d80fefb2,2026-04-09T15:50:25.388Z,0xB497,192.168.1.39,SSH,BRUTE_FORCE,95,3.70,9.50
7091e464,2026-04-09T15:51:37.388Z,0x83CA,192.168.1.57,SQL,BLIND_SQLI,66,4.28,6.60
8f0e6797,2026-04-09T15:52:49.388Z,0x17E4,192.168.1.136,SSH,SHELLCODE_INJECTION,74,2.78,7.40
5419d0a1,2026-04-09T15:54:01.388Z,0x23CB,192.168.1.210,SQL,VERSION_PROBE,80,2.83,8.00
c629d5f3,2026-04-09T15:55:13.388Z,0xD72E,192.168.1.194,HTTP,SQL_INJECTION,67,1.54,6.70
c73e8bca,2026-04-09T15:56:25.388Z,0xB439,192.168.1.74,SQL,HONEYTOKEN_TRIGGER,71,3.07,7.10
23df171c,2026-04-09T15:57:37.388Z,0xEDF5,192.168.1.214,HTTP,DIR_TRAVERSAL,80,2.28,8.00
9ee550dd,2026-04-09T15:58:49.388Z,0xE685,192.168.1.22,SQL,HONEYTOKEN_TRIGGER,84,2.19,8.40
07d88e7d,2026-04-09T16:00:01.388Z,0x86D8,192.168.1.174,SSH,BANNER_GRAB,83,2.71,8.30
50e35523,2026-04-09T16:01:13.388Z,0xD9EE,192.168.1.57,SSH,BANNER_GRAB,91,1.66,9.10
7d2bc4d8,2026-04-09T16:02:25.388Z,0xFDC5,192.168.1.86,HTTP,SQL_INJECTION,66,2.69,6.60
b5189ee5,2026-04-09T16:03:37.388Z,0x6B3A,192.168.1.215,SQL,HONEYTOKEN_TRIGGER,86,2.97,8.60
ae00be96,2026-04-09T16:04:49.388Z,0x4FD5,192.168.1.49,HTTP,SQL_INJECTION,68,3.28,6.80
f6d664af,2026-04-09T16:06:01.388Z,0xD902,192.168.1.195,SQL,USER_ENUMERATION,88,2.33,8.80
46628bf0,2026-04-09T16:07:13.388Z,0x7F0A,192.168.1.87,SSH,BANNER_GRAB,67,4.42,6.70
a989b545,2026-04-09T16:08:25.388Z,0xD5F2,192.168.1.103,SSH,BRUTE_FORCE,93,1.57,9.30
b79ac693,2026-04-09T16:09:37.388Z,0x5B45,192.168.1.241,HTTP,DIR_TRAVERSAL,64,2.62,6.40
66466aba,2026-04-09T16:10:49.388Z,0xE515,192.168.1.102,HTTP,ENV_SCAN,93,1.94,9.30
c73fa8a3,2026-04-09T16:12:01.388Z,0xFE9B,192.168.1.2,HTTP,DIR_TRAVERSAL,87,4.37,8.70
cd77fa3d,2026-04-09T16:13:13.388Z,0x66BD,192.168.1.221,HTTP,DIR_TRAVERSAL,64,3.13,6.40
926eb45e,2026-04-09T16:14:25.388Z,0x1889,192.168.1.227,HTTP,DIR_TRAVERSAL,89,3.96,8.90
ea7e4292,2026-04-09T16:15:37.388Z,0x45D8,192.168.1.210,HTTP,DIR_TRAVERSAL,82,1.78,8.20
c536d66d,2026-04-09T16:16:49.388Z,0x6802,192.168.1.181,HTTP,ADMIN_RECON,66,1.64,6.60
890386cb,2026-04-09T16:18:01.388Z,0x566F,192.168.1.58,SQL,HONEYTOKEN_TRIGGER,86,2.11,8.60
bebc5635,2026-04-09T16:19:13.388Z,0xD3C0,192.168.1.123,SQL,TABLE_DROP,62,4.39,6.20
2b4a34ca,2026-04-09T16:20:25.388Z,0x4DA4,192.168.1.123,SQL,HONEYTOKEN_TRIGGER,68,2.74,6.80
11ac1675,2026-04-09T16:21:37.388Z,0x10B4,192.168.1.196,SSH,BANNER_GRAB,90,2.73,9.00
738562ab,2026-04-09T16:22:49.388Z,0x53EF,192.168.1.249,SSH,BANNER_GRAB,66,3.18,6.60
a239f0d4,2026-04-09T16:24:01.388Z,0x539D,192.168.1.31,HTTP,ADMIN_RECON,99,4.20,9.90
b974d3fa,2026-04-09T16:25:13.388Z,0x2E1A,192.168.1.176,HTTP,DIR_TRAVERSAL,75,3.74,7.50
3a759f87,2026-04-09T16:26:25.388Z,0x2F9,192.168.1.38,HTTP,XSS_PAYLOAD,69,3.20,6.90
b4ad5590,2026-04-09T16:27:37.388Z,0x832A,192.168.1.18,SQL,VERSION_PROBE,81,1.84,8.10
a055e2d7,2026-04-09T16:28:49.388Z,0xC4E3,192.168.1.174,HTTP,DIR_TRAVERSAL,60,3.94,6.00
9d17ac89,2026-04-09T16:30:01.388Z,0xD5CC,192.168.1.121,HTTP,XSS_PAYLOAD,95,2.04,9.50
7180b721,2026-04-09T16:31:13.388Z,0xCECD,192.168.1.42,SQL,VERSION_PROBE,73,3.14,7.30
1e995178,2026-04-09T16:32:25.388Z,0x67D8,192.168.1.58,HTTP,ENV_SCAN,71,3.17,7.10
05eb83b9,2026-04-09T16:33:37.388Z,0xA749,192.168.1.16,SSH,PRIV_ESC,67,2.31,6.70
bd26ca04,2026-04-09T16:34:49.388Z,0x64D5,192.168.1.251,SQL,VERSION_PROBE,77,3.90,7.70
e71bfa35,2026-04-09T16:36:01.388Z,0x3A84,192.168.1.77,HTTP,ADMIN_RECON,84,2.99,8.40
94901d3d,2026-04-09T16:37:13.388Z,0xA733,192.168.1.149,SSH,ROOT_LOGIN_ATTEMPT,92,2.11,9.20
62c1d532,2026-04-09T16:38:25.388Z,0xAFD9,192.168.1.148,SQL,HONEYTOKEN_TRIGGER,67,2.27,6.70
cdcef3dc,2026-04-09T16:39:37.388Z,0x833A,192.168.1.17,HTTP,ENV_SCAN,88,2.37,8.80
3e202fbb,2026-04-09T16:40:49.388Z,0xB513,192.168.1.124,SSH,BRUTE_FORCE,80,3.61,8.00
80095b55,2026-04-09T16:42:01.388Z,0xAC83,192.168.1.127,HTTP,SQL_INJECTION,76,3.40,7.60
54126b64,2026-04-09T16:43:13.388Z,0x8558,192.168.1.66,HTTP,XSS_PAYLOAD,77,3.21,7.70
5044bb15,2026-04-09T16:44:25.388Z,0xE954,192.168.1.53,SSH,BANNER_GRAB,64,1.83,6.40
6f488f46,2026-04-09T16:45:37.388Z,0x316B,192.168.1.166,HTTP,ADMIN_RECON,98,1.78,9.80
f175a1ac,2026-04-09T16:46:49.388Z,0xC8AE,192.168.1.95,HTTP,XSS_PAYLOAD,87,1.91,8.70
e832e8b7,2026-04-09T16:48:01.388Z,0x2949,192.168.1.224,HTTP,DIR_TRAVERSAL,71,1.87,7.10
580dc2f5,2026-04-09T16:49:13.388Z,0x79EA,192.168.1.74,SSH,ROOT_LOGIN_ATTEMPT,82,3.90,8.20
b0c62069,2026-04-09T16:50:25.388Z,0xBEC8,192.168.1.84,SSH,SHELLCODE_INJECTION,80,1.99,8.00
133ffaf8,2026-04-09T16:51:37.388Z,0x15A9,192.168.1.62,SQL,BLIND_SQLI,75,2.93,7.50
981764bc,2026-04-09T16:52:49.388Z,0xA32D,192.168.1.123,SSH,BRUTE_FORCE,65,2.74,6.50
515f1ca2,2026-04-09T16:54:01.388Z,0x9B64,192.168.1.169,SSH,SHELLCODE_INJECTION,64,1.54,6.40
23c197cc,2026-04-09T16:55:13.388Z,0x57E5,192.168.1.111,SQL,VERSION_PROBE,78,1.73,7.80
e45b7479,2026-04-09T16:56:25.388Z,0x43D5,192.168.1.179,SQL,BLIND_SQLI,97,4.09,9.70
a31c868d,2026-04-09T16:57:37.388Z,0x15,192.168.1.235,SSH,PRIV_ESC,78,3.25,7.80
b6b07a7f,2026-04-09T16:58:49.388Z,0x1EF,192.168.1.97,HTTP,DIR_TRAVERSAL,65,4.07,6.50
6ad5e1ef,2026-04-09T17:00:01.388Z,0x2681,192.168.1.39,SSH,SHELLCODE_INJECTION,84,1.83,8.40
97c5f830,2026-04-09T17:01:13.388Z,0x7FBF,192.168.1.179,SQL,VERSION_PROBE,69,4.36,6.90
64eb27d9,2026-04-09T17:02:25.388Z,0x447A,192.168.1.229,HTTP,ADMIN_RECON,96,2.86,9.60
bd02f6fb,2026-04-09T17:03:37.388Z,0xBCFE,192.168.1.71,SSH,BANNER_GRAB,66,2.71,6.60
06dbdb93,2026-04-09T17:04:49.388Z,0xBBDD,192.168.1.215,SQL,TABLE_DROP,91,3.92,9.10
fd3d292f,2026-04-09T17:06:01.388Z,0xA016,192.168.1.55,SSH,BRUTE_FORCE,71,2.42,7.10
9fa3fa84,2026-04-09T17:07:13.388Z,0xCD1A,192.168.1.190,SQL,VERSION_PROBE,86,2.90,8.60
8e4af946,2026-04-09T17:08:25.388Z,0x7C7,192.168.1.192,SSH,BRUTE_FORCE,64,2.53,6.40
17835033,2026-04-09T17:09:37.388Z,0xAF74,192.168.1.24,SQL,USER_ENUMERATION,86,1.90,8.60
ffd72322,2026-04-09T17:10:49.388Z,0xCB52,192.168.1.195,SQL,TABLE_DROP,65,2.27,6.50
ad905e7e,2026-04-09T17:12:01.388Z,0x68EE,192.168.1.66,SQL,USER_ENUMERATION,94,2.68,9.40
5d2c5ec7,2026-04-09T17:13:13.388Z,0x2A57,192.168.1.18,SSH,SHELLCODE_INJECTION,89,3.93,8.90
1bcffef2,2026-04-09T17:14:25.388Z,0x8ED7,192.168.1.22,SSH,ROOT_LOGIN_ATTEMPT,92,2.96,9.20
aaf3bc96,2026-04-09T17:15:37.388Z,0x2336,192.168.1.180,HTTP,SQL_INJECTION,81,4.24,8.10
d47ed9ee,2026-04-09T17:16:49.388Z,0xA88B,192.168.1.106,HTTP,ADMIN_RECON,83,4.25,8.30
33c7420d,2026-04-09T17:18:01.388Z,0xBAED,192.168.1.183,SSH,SHELLCODE_INJECTION,78,1.83,7.80
